<OOV> 1.0	OOV
مشیر 1.0	M U SH II R
گراؤنڈز 1.0	G A R AA UU N DD Z
کانشی 1.0	K AA N I SH II
بھٹکتا 1.0	B_H A TT A K T_D AA
کرپائے 1.0	K I R P AA AY
مانتی 1.0	M AA N T_D II
نیٹسوکی 1.0	N AY TT U S UU K II
خنک 1.0	X U N K
ویرانی 1.0	V II R AA N II
پرستوں 1.0	P A R A S T_D OON
پہنچادے 1.0	P A H N T_SH AA D_D AY
کرتیں 1.0	K U R T_D IIN
منوہر 1.0	M A N V A H A R
سوح 1.0	S UU
چالیسصفر 1.0	T_SH AA L II S A S F A R
جملوں 1.0	D_ZZ A M L OON
ڈیسوذا 1.0	DD AE S UU Z AA
مانگتے 1.0	M AA NG T_D AY
خارش 1.0	X AA R I SH
کوفت 1.0	K UU F T_D
سپرٹ 1.0	S I P R I TT
سیارچے 1.0	S I J AA R T_SH AY
ریسٹ 1.0	R AE S TT
جھپٹا 1.0	D_ZZ_H A P TT AA
ٹائروں 1.0	TT AA I R OON
ایکچھدو 1.0	AY K T_SH A D_D D_D UU
ترپننو 1.0	T_D I R P A N N UU
دھنستا 1.0	D_D_H A N S T_D AA
شوٹ 1.0	SH UU TT
بوسیدہ 1.0	B OO S II D_D AA
عبدالحق 1.0	A B D_D U L H A Q
ڈرافٹ 1.0	DD A R AA F TT
کلدیپ 1.0	K A L D_D AY P
تلیگو 1.0	T_D A L II G OO
مزییوئف 1.0	M A Z II J UU I F
جارتا 1.0	D_ZZ AA R T_D AA
کیرالا 1.0	K AE R AA L AA
مکمہ 1.0	M U K A M M AA
العزیز 1.0	A L A Z II Z
درے 1.0	D_D A R R AY
گدوگی 1.0	G A D_D D_D A G II
آپریشنوں 1.0	AA P R AY SH A N OON
سدرلینڈ 1.0	S A D_D A R L AE N DD
وبیتاب 1.0	V A B II T_D AA B
چٹخ 1.0	T_SH A TT A X
ٹرانزسٹروں 1.0	TT A R AA N Z I S TT A R OON
تاسین 1.0	T_D AA S II N
کنیکٹ 1.0	K U N AE K TT
درہ 1.0	D_D A R R AA
دادو 1.0	D_D AA D_D UU
اجتماع 1.0	I D_ZZ T_D I M AA
غذائیں 1.0	7 I Z AA AYN
ترجمے 1.0	T_D A R D_ZZ A M AY
فسادیوں 1.0	F A S S AA D_D II OON
بیکٹریاں 1.0	B AE K TT A R I J AAN
اورحال 1.0	O R H AA L
دادا 1.0	D_D AA D_D AA
آبادی 1.0	AA B AA D_D II
لاؤنج 1.0	L AA UU N D_ZZ
تشفی 1.0	T_D A SH F II
اترنا 1.0	U T_D A R N AA
دھوتے 1.0	D_D_H OO T_D AY
دوئم 1.0	D_D UU I M
دقیق 1.0	D_D A Q II Q
پہنتی 1.0	P A_E_H H A N T_D II
براز 1.0	B A R AA Z
تعریفوں 1.0	T_D A R II F OON
شورو 1.0	SH UU R UU
ٹرانسپلانٹ 1.0	TT A R AA N S P A L AA N TT
ورڈ 1.0	V A R DD
المقاصد 1.0	A L M A Q AA S A D_D
جسمانی 1.0	D_ZZ I S M AA N II
موشے 1.0	M OO SH AY
سائیکی 1.0	S AA II K II
سینتالیسویں 1.0	S AEN T_D AA L II S V AYN
مذاقیہ 1.0	M U Z AA Q I J AA
لگاؤ 1.0	L A G AA OO
داغہ 1.0	D_D AA 7 AA
جمعرات 1.0	D_ZZ U M AY R AA T_D
بدولت 1.0	B A D_D UU L A T_D
ڈاؤن 1.0	DD AA UU N
اکلوتی 1.0	I K L OO T_D II
اکلوتے 1.0	I K L OO T_D AY
البیرہ 1.0	A L B II R AA
ہیلری 1.0	H AE L R II
قہقہہ 1.0	Q A H Q A H AA
بصورت 1.0	B A S UU R A T_D
عصرحاضر 1.0	A S R AY H AA Z I R
مکمل 1.0	M U K M A L
کپ 1.0	K A P
ہایو 1.0	H AA J UU
بزرگی 1.0	B U Z U R G II
کمپینوں 1.0	K A M P II N OON
سٹیشنز 1.0	S A TT AY SH A N Z
موافقت 1.0	M U V AA F A Q A T_D
دیدیے 1.0	D_D II D_D II AY
نندن 1.0	N A N D_D A N
ورل 1.0	V A R A L
شوہ 1.0	SH OO H
مفرور 1.0	M A F R UU R
محکموں 1.0	M U H K A M OON
کےایوارڈ 1.0	K AY AY V AA R DD
لاتیکا 1.0	L AA T_D II K AA
تھپیڑے 1.0	T_D_H A P AY RR AY
مورکل 1.0	M O R I K A L
کارتوس 1.0	K AA R T_D UU S
درا 1.0	D_D A R AA
غذائیت 1.0	7 I Z AA I J J A T_D
پلاتا 1.0	P A L AA T_D AA
ورد 1.0	V A R D_D
تیسصفر 1.0	T_D A S S A S U R U R
تمھیں 1.0	T_D U M M AYN
دوڑتے 1.0	D_D OO RR T_D AY
آتمن 1.0	AA T_D M A N
خوبیاں 1.0	X UU B I J AAN
نوشیرا 1.0	N OO SH AY R AA
دروازہ 1.0	D_D A R V AA Z AA
نکلوا 1.0	N I K A L V AA
ولیج 1.0	V I L II D_ZZ
انویریٹی 1.0	I N V AE R II TT II
دوصفرصفرتین 1.0	D_D O S A R AY S A F A R A T_D T_D II N
شوری 1.0	SH UU R II
جماتا 1.0	D_ZZ A M AA T_D AA
ہزارصفر 1.0	H A Z AA R S A F A R
دروازے 1.0	D_D A R V AA Z AY
کیرالہ 1.0	K AE R AA L AA
ٹریلرز 1.0	TT A R AY L A R Z
ہیڈکواٹر 1.0	H AE DD K A V AA TT A R
کیلوں 1.0	K AY L OON
بریف 1.0	B A R II F
چھیاسٹھ 1.0	T_SH II S I TT_H
پلئینگ 1.0	P A L A J I NG
سنسان 1.0	S U N S AA N
برین 1.0	B A R II N
بھڑکیلی 1.0	B_H A RR K II L II
مانڈیلیز 1.0	M AA N DD AY L II Z
پرشتش 1.0	P U R SH A T_D A SH
فیلڈروں 1.0	F II L DD A R OON
ہواؤں 1.0	H A V AA OON
نارنجی 1.0	N AA R A N D_ZZ II
کنوں 1.0	K U N UUN
ڈنڈا 1.0	DD A N DD AA
دوڑتی 1.0	D_D O RR T_D II
برطرف 1.0	B A R T_D A R A F
ترس 1.0	T_D A R S
سٹرک 1.0	S A TT R I K
عروہ 1.0	U R V AA
آفسز 1.0	AA F I S I Z
آفسر 1.0	AA F I S A R
ننگرہار 1.0	N A NG R A H H AA R
اڈولف 1.0	A DD OO L I F
پیری 1.0	P AE R II
چلیئے 1.0	T_SH A L II AY
چٹھی 1.0	T_SH I TT TT_H II
جواں 1.0	D_ZZ A V AAN
گلاپاگاس 1.0	G I L AA P AA G AA S
کوئچلن 1.0	K OO I T_SH L A N
انیسہ 1.0	A N II S AA
اولاکھ 1.0	A V L AA K_H
فوٹو 1.0	F OO TT OO
کاؤنٹر 1.0	K AA UU N TT A R
مشکل 1.0	M U SH K I L
مشیران 1.0	M U SH II R AA N
چے 1.0	T_SH AY
پدما 1.0	P A D_D M AA
مانڈوی 1.0	M AA N DD V II
بشارالاسد 1.0	B I SH AA R U L A S D_D
سکھانے 1.0	S I K_H AA N AY
اڑی 1.0	U RR II
کوئنگ 1.0	K UU I NG
گلیسپی 1.0	G A L AE S P II
کنٹینروں 1.0	K A N TT II N A R OON
جنپنگ 1.0	D_ZZ A M P I NG
علما 1.0	U L M A N
پھنسایا 1.0	P_H A N S AA J AA
سےبھی 1.0	S A AY B_H II
ٹکراؤ 1.0	TT A K R AA OO
بریت 1.0	B A R II T_D
پرقدم 1.0	P U R Q I D_D A M
ابلے 1.0	U B L AY
مرہم 1.0	M U R A H H A M
نمائش 1.0	N U M AA I SH
مشترک 1.0	M U SH T_D A R I K
ڈھالا 1.0	DD_H AA L AA
شناختی 1.0	SH A N AA X T_D II
دیکلیئر 1.0	D_D AY K L AY A R
وخصوصیات 1.0	V U X S UU S II AA T_D
پنکج 1.0	P A N K A D_ZZ
الیکس 1.0	I L AE K S
غائبانہ 1.0	7 AA I B AA N AA
جدیجا 1.0	D_ZZ A D_D AY D_ZZ AA
خاندانی 1.0	X AA N D_D AA N II
ترک 1.0	T_D A R K
پیدوار 1.0	P AY D_D V AA R
پھٹیچر 1.0	P_H A TT AY T_SH A R
آمادہ 1.0	AA M AA D_D AA
مدارات 1.0	M U D_D AA R AA T_D
یونائٹڈ 1.0	J UU N AA I TT I DD
سٹرا 1.0	S A TT R AA
ٹھکائی 1.0	TT_H U K AA II
ادارتی 1.0	I D_D AA R A T_D II
پرشکوہ 1.0	P U R SH I K V AA
ہضم 1.0	H A Z M
خمسہ 1.0	X A M S AA
ٹخنہ 1.0	TT A X N AA
فالٹ 1.0	F AA L TT
ڈائلاگ 1.0	DD AA L AA G
جواد 1.0	D_ZZ A V AA D_D
کشمیریوں 1.0	K A SH M II R II OON
الحریری 1.0	A L A H R II R II
کھلانے 1.0	K_H I L AA N AY
پیرو 1.0	P AE R OO
رخسانہ 1.0	R U X S AA N AA
سبزار 1.0	S A B Z AA R
اکتیسچھتیس 1.0	I K T_D II S T_SH A T_D II S
سپورٹنگ 1.0	S A P OO R TT I NG
جواز 1.0	D_ZZ A V AA Z
انڈینز 1.0	I N DD II N Z
کوئنز 1.0	K UU I N Z
بےآواز 1.0	B AY AA V AA Z
بریڈ 1.0	B A R AE DD
جوان 1.0	D_ZZ A V AA N
اشرفی 1.0	A SH R A F II
جھینلے 1.0	D_ZZ_H II N L AY
سینیئر 1.0	S II N II A R
چلآ 1.0	T_SH A L L AA
کرینہ 1.0	K A R II N AA
آپریٹروں 1.0	AA P R AY TT A R OON
پیرا 1.0	P AE R AA
کابلوف 1.0	K AA B L UU F
اذان 1.0	A Z AA N
تسنیم 1.0	T_D A S N II M
ڈنڈے 1.0	DD A N DD AY
تری 1.0	T_D A R R II
اورافغانستان 1.0	OO A R A F 7 AA N I S T_D AA N
بریک 1.0	B A R AE K
دبدبہ 1.0	D_D A B D_D A B AA
جوابی 1.0	D_ZZ A V V AA B II
ایکساتصفرصفر 1.0	AY K S AA T_D A S A R A S A F A R F U R
مصنفہ 1.0	M U S A N N I F AA
مائلی 1.0	M AA I L II
جزوی 1.0	D_ZZ I Z V II
کوسٹا 1.0	K OO S TT AA
کشتیاں 1.0	K U SH T_D I J AAN
نیلا 1.0	N II L AA
منضور 1.0	M A N Z UU R
رہمنا 1.0	R A H M A N AA
ڈنڈی 1.0	DD A N DD II
قلمدان 1.0	Q A L A M D_D AA N
شکاری 1.0	SH I K AA R II
لوریئل 1.0	L OO R II A L
ہلمند 1.0	H A L M A N D_D
معیشتیں 1.0	M A II SH A T_D AYN
زخموں 1.0	Z A X M OON
شماریاتی 1.0	SH U M AA R I J AA T_D II
کیر 1.0	K II R
کھلوا 1.0	K_H I L V AA
ڈومہ 1.0	DD OO M AA
راگھو 1.0	R AA G_H UU
ٹائسن 1.0	TT AA I S A N
لوٹے 1.0	L OO TT AY
سستا 1.0	S A S T_D AA
اچھالنے 1.0	U T_SH AA L N AY
ڈوئرٹی 1.0	DD OO I R TT II
شریفو 1.0	SH A R II F OO
ڈھیلی 1.0	DD_H AY L II
بھگتایا 1.0	B_H U G T_D AA J AA
نادیدہ 1.0	N AA D_D II D_D AA
طلائی 1.0	T_D A L AA II
سمپل 1.0	S A M P A L
ٹورنگ 1.0	TT OO R I NG
لورز 1.0	L A V A R Z
بموں 1.0	B A M OON
جلنے 1.0	D_ZZ A L N AY
جریدہ 1.0	D_ZZ A R II D_D AA
رسد 1.0	R A S A D_D
آستودیلو 1.0	AA S T_D OO D_D II L OO
پرورش 1.0	P A R OO R I SH
منعقدہ 1.0	M U N A Q A D_D D_D AA
سمپت 1.0	S A M P A T_D
سنجیدہ 1.0	S A N D_ZZ II D_D AA
لورا 1.0	L OO R AA
جریدے 1.0	D_ZZ A R II D_D AY
کیپ 1.0	K II P
برتنوں 1.0	B A R T_D A N OON
ہیزل 1.0	H AE Z A L
کراتے 1.0	K A R AA T_D AY
کرسپر 1.0	K A R A S P A R
کین 1.0	K AE N
جسوال 1.0	D_ZZ A S V AA L
کیل 1.0	K AY L
چارلی 1.0	T_SH AA R L II
اولادیں 1.0	O L AA D_D AYN
شکرایہ 1.0	SH U K R AA J AA
ایلیمینیٹر 1.0	AE L II M II N AY TT A R
بشانہ 1.0	B A SH AA N AA
گرین 1.0	G I R II N
سینڈ 1.0	S AE N DD
گریف 1.0	G I R II F
ڈپریشن 1.0	DD I P R AY SH A N
جگہیں 1.0	D_ZZ A G A H AYN
ترپنسات 1.0	T_D A R P A N A S S AA T_D
بونا 1.0	B OO N AA
آٹھچھ 1.0	AA TT_H T_SH A
پلیٹوں 1.0	P A L AY TT OON
سنیٹر 1.0	S A N AY TT A R
صفرایک 1.0	S A F R AA J A K
قلندرز 1.0	Q A L A N D_D A R Z
ٹھپ 1.0	TT_H A P
لائنیں 1.0	L AA I N AYN
گھبرا 1.0	G_H A B R AA
ہنسمکھ 1.0	H A N S A M A K_H
تجاوز 1.0	T_D A D_ZZ AA V U Z
چارسات 1.0	T_SH AA R S AA T_D
سگھے 1.0	S U G_H G_H AY
کیک 1.0	K AY K
فلانتھراپی 1.0	F I L AA N T_D_H A R AA P II
ہلیرری 1.0	H A L II R A R II
چارلز 1.0	T_SH AA R L Z
سدھارمیا 1.0	S U D_D_H AA R M I J AA
شتروگھن 1.0	SH I T_D A R UU G_H A N
عبد 1.0	A B D_D
لڑکوں 1.0	L A RR K OON
قسط 1.0	Q I S T_D
سلیٹی 1.0	S A L II TT II
کاساماری 1.0	K AA S AA M AA R II
فرحین 1.0	F A R H AE N
قست 1.0	Q I S T_D
بےتحاشا 1.0	B AY T_D A H AA SH AA
صدمہ 1.0	S A D_D D_D AA
اھہیں 1.0	U H AYN
کااظہار 1.0	K AA Z H AA R
ہولڈر 1.0	H OO L DD A R
کےمقبرے 1.0	K AY M A Q B A R AY
ہیوسٹن 1.0	H AE V S A TT N
وطن 1.0	V A T_D A N
بامبے 1.0	B AA M B AY
بارڈر 1.0	B AA R DD A R
بجنے 1.0	B A D_ZZ N AY
ڈیری 1.0	DD AY R II
تینتیسپانچچھ 1.0	T_D AEN T_D II S P U N T_SH A T_SH
بینروں 1.0	B AE N A R OON
تاریکی 1.0	T_D AA R II K II
گدڑیاں 1.0	G U D_D RR I J AAN
خلاباز 1.0	X A L AA B AA Z
صفات 1.0	S A F F AA T_D
لئے 1.0	L I AY
کارڈیشیئن 1.0	K AA R DD II SH II A N
لئی 1.0	L A II
جھول 1.0	D_ZZ_H UU L
لیڈری 1.0	L II DD R II
الرافع 1.0	A L R AA F AY
ڈوما 1.0	DD OO M AA
چارچھویں 1.0	T_SH AA R T_SH UU V AYN
والد 1.0	V AA L I D_D
میڈم 1.0	M AE DD A M
میڈل 1.0	M AE DD A L
آریہ 1.0	AA R J AA
نیشبد 1.0	N AY SH B A D_D
کریملین 1.0	K A R II M I L II N
ستاون 1.0	S A T_D AA V A N
خرگوشوں 1.0	X A R G OO SH OON
خیالی 1.0	X A J AA L II
گیل 1.0	G II L
توجیح 1.0	T_D O D_ZZ II
والش 1.0	V AA L I SH
لڑو 1.0	L A RR OO
والز 1.0	V AA L Z
اوربیٹل 1.0	OO R B AE TT A L
کیرون 1.0	K AE R UU N
پنجاب 1.0	P A N D_ZZ AA B
کاکڑ 1.0	K AA K A RR
بیواؤں 1.0	B AY V AA OON
خواندگی 1.0	X AA N D_D G II
ایسو 1.0	AE S UU
بےنام 1.0	B AY N AA M
سٹیولنبرگ 1.0	S A TT J UU L I M B A R G
الانسان 1.0	A L A N S AA N
اعتراضات 1.0	AY T_D I R AA Z AA T_D
میوزیم 1.0	M I J UU Z I J A M
تینتیسصفرتین 1.0	T_D AEN AEN S S A S F U R A T_D II N
برآ 1.0	B A R AA
انڈر 1.0	A N DD A R
جمیلہ 1.0	D_ZZ A M AY L AA
النصیر 1.0	A L N A S II R
پارٹنر 1.0	P AA R TT N A R
دلدوز 1.0	D_D I L D_D OO Z
سیمنٹ 1.0	S II M A N TT
مذید 1.0	M U Z II D_D
مترینی 1.0	M U T_D R II N II
اٹاوہ 1.0	A TT AA V AA
ورثہ 1.0	V A R S AA
بولر 1.0	B OO L A R
خواب 1.0	X AA B
یروشلایم 1.0	J A R OO SH A L AA M
سوریش 1.0	S OO R AY SH
مطلقہ 1.0	M U T_D L A Q AA
صحافت 1.0	S A H AA F A T_D
برق 1.0	B A R A Q
پرینکا 1.0	P A R AE N K AA
انتظامی 1.0	I N T_D I Z AA M II
تھرٹی 1.0	T_D_H I R TT II
زرین 1.0	Z A R II N
زائرین 1.0	Z AA I R II N
مجھےایسے 1.0	M U D_ZZ_H J AA S AY
اختلافی 1.0	I X T_D I L AA F II
پھینکنے 1.0	P_H AEN K N AY
کمانڈنگ 1.0	K A M AA N DD I NG
قندوز 1.0	Q A N D_D UU Z
ٹہل 1.0	TT A_E_H H A L
بھومیکا 1.0	B_H UU M II K AA
کدہ 1.0	K A D_D D_D AA
لیڈرشپ 1.0	L II DD A R SH I P
کاکس 1.0	K AA K S
کوپر 1.0	K UU P A R
آندرے 1.0	AA N D_D R AY
طریقوں 1.0	T_D A R II Q OON
ناکامیوں 1.0	N AA K AA M II OON
جاسکا 1.0	D_ZZ AA S K AA
پھرانوشکا 1.0	P_H A R AA N OO SH K AA
یکایک 1.0	J K AA J U K
چوہا 1.0	T_SH UU H AA
سیمنگ 1.0	S II M I NG
اونٹ 1.0	UU N TT
غزہ 1.0	7 A Z Z AA
معروف 1.0	M A R UU F
لڑی 1.0	L A RR II
میںدوصفر 1.0	M AY D_D D_D OO S I R
سٹوڈیو 1.0	S A TT OO DD II V
اوریجنل 1.0	OO R II D_ZZ N A L
حقائق 1.0	H A Q AA I Q
بینکاری 1.0	B AEN K AA R II
کہتےتھے 1.0	K A H T_D AY T_D_H AY
سلیکون 1.0	S I L II K OO N
ڈریسنگ 1.0	DD A R AE S I NG
بتائے 1.0	B A T_D AA AY
ہیری 1.0	H AE R II
تیندوے 1.0	T_D AY N D_D U AY
بلغاریہ 1.0	B A L 7 AA R I J AA
رلیز 1.0	R A L II Z
نیتجہ 1.0	N II T_D D_ZZ AA
آئندہ 1.0	AA I N D_D AA
بولی 1.0	B OO L II
بتائی 1.0	B A T_D AA II
سفارتخانوں 1.0	S I F AA R A T_D X AA N OON
درحقیقت 1.0	D_D A R H A Q II Q A T_D
زخیرے 1.0	Z A X AE R AY
سالہا 1.0	S AA L H AA
گریٹڈ 1.0	G I R AY TT I DD
صحافی 1.0	S A H H AA F II
مایوں 1.0	M AA J OON
سربراہوں 1.0	S A R B A R AA H OON
بورڈز 1.0	B OO R DD Z
کریدنا 1.0	K U R AY D_D N AA
خودکش 1.0	X U D_D K U SH
مایاوتی 1.0	M AA J AA V A T_D II
برے 1.0	B A R AY
کبالے 1.0	K A B AA L AY
پاؤنڈ 1.0	P AA UU N DD
کراہت 1.0	K A R AA H A T_D
انہتر 1.0	U N H A T_D T_D A R
اہلیت 1.0	A H L II J A T_D
آموز 1.0	AA M OO Z
آمور 1.0	AA M UU R
جنسی 1.0	D_ZZ I N S II
سدرشن 1.0	S U D_D A R SH A N
منظرعام 1.0	M U N A Z A R AY A N
الملوک 1.0	A L M A L UU K
ادھر 1.0	U D_D_H A R
ایکچالیس 1.0	AE K T_SH AA L II S
آنجہانی 1.0	AA N D_ZZ A H AA N II
ایڈیلیڈ 1.0	AE DD II L II DD
کمارراؤ 1.0	K A M AA R A R AA OO
بیتی 1.0	B II T_D II
بدنامی 1.0	B A D_D N AA M II
لپٹ 1.0	L I P A TT
آرکیٹیکٹ 1.0	AA R K II TT AE K TT
تیاری 1.0	T_D A J J AA R II
بولڈ 1.0	B OO L DD
سٹاکس 1.0	S A TT AA K S
کھنچا 1.0	K_H I N T_SH AA
کدو 1.0	K A D_D D_D UU
گیارہچار 1.0	G I J AA R A H T_SH AA R
مکونل 1.0	M A K UU N A L
کاکو 1.0	K AA K UU
مقدمات 1.0	M U Q A D_D D_D A M AA T_D
ادھورے 1.0	A D_D_H UU R AY
دلاور 1.0	D_D A L AA V A R
لورالائی 1.0	L O R AA L AA II
ڈیپارٹمنٹ 1.0	DD II P AA R TT M I N TT
مخالفانہ 1.0	M U X AA L I F AA N AA
لبرٹی 1.0	L I B A R TT II
زیادتیوں 1.0	Z I J AA D_D A T_D II OON
مادائیں 1.0	M AA D_D AA AYN
بیرسٹر 1.0	B AE R I S TT A R
تلک 1.0	T_D A L A K
کلنگ 1.0	K I L I NG
بانوے 1.0	B AA N V AY
وہے 1.0	V OO H AY
جڑا 1.0	D_ZZ A RR AA
گتے 1.0	G A T_D T_D AY
انتخاب 1.0	I N T_D I X AA B
انتخات 1.0	I N T_D I X AA T_D
پیداوارکیا 1.0	P AE D_D AA V AA R K I J AA
سنتے 1.0	S U N T_D AY
نمٹنا 1.0	N I M A TT N AA
پروپیگنڈہ 1.0	P A R OO P AY G A N DD AA
بندوقوں 1.0	B A N D_D UU Q OON
دبے 1.0	D_D A B AY
دہارے 1.0	D_D A H AA R AY
بہب 1.0	B A H A B
دوچالیس 1.0	D_D OO T_SH AA L II S
خبررساں 1.0	X A B A R R A S AAN
سجدے 1.0	S A D_ZZ D_D AY
ہھتیاروں 1.0	H A T_D J AA R OON
چھوڑے 1.0	T_SH OO RR AY
ترازو 1.0	T_D A R AA Z OO
برنٹ 1.0	B A R A N TT
افغانستان 1.0	A F 7 AA N I S T_D AA N
میزائلز 1.0	M II Z AA I L Z
زبیب 1.0	Z A B II B
بہا 1.0	B A H AA
پٹیاں 1.0	P A TT TT I J AAN
کھاتیں 1.0	K_H AA T_D IIN
ہونےوالےایک 1.0	H OO N AY L AA J I J
ماما 1.0	M AA M AA
کالیا 1.0	K AA L I J AA
زبیر 1.0	Z A B II R
سلیبریشن 1.0	S A L II B A R AY SH A N
آدتیہ 1.0	AA D_D T_D I J AA
دلنواز 1.0	D_D I L N A V AA Z
چھاپوں 1.0	T_SH AA P OON
سماجوادی 1.0	S A M AA D_ZZ V AA D_D II
بیرسٹو 1.0	B AE R I S TT I V
ویگنوں 1.0	V AE G A N OON
ارضی 1.0	A R Z II
ویٹلی 1.0	V AE TT L II
خوشدل 1.0	X U SH D_D A L
لپکتے 1.0	L A P A K T_D AY
نروو 1.0	N A R UU V
تیزاب 1.0	T_D AY Z AA B
نبرد 1.0	N A B A R D_D
کینیتھ 1.0	K AE N II T_D_H
خالص 1.0	X AA L I S
اقرائیلی 1.0	I Q R AA II L II
کھی 1.0	K_H II
خالی 1.0	X AA L II
تھکاوٹ 1.0	T_D_H A K AA V A TT
سےنیب 1.0	S AY N AY B
حمود 1.0	H U M UU D_D
طاس 1.0	T_D AA S
خالہ 1.0	X AA L AA
مزہب 1.0	M A Z H A B
ملتان 1.0	M U L T_D AA N
پفر 1.0	P A F A R
صہیب 1.0	S A H II B
ہٹتے 1.0	H A TT T_D AY
بارہمولہ 1.0	B AA R H A M UU L AA
جلیل 1.0	D_ZZ A L II L
سائنسی 1.0	S AA I N S II
اللکباہ 1.0	A L L A K B AA
خودراوی 1.0	X U D_D R AA V II
کھوجنا 1.0	K_H OO D_ZZ N AA
موٹر 1.0	M OO TT A R
پیکٹ 1.0	P AE K A TT
پیٹرسن 1.0	P AE TT R I S A N
پکاتے 1.0	P A K AA T_D AY
سینا 1.0	S II N AA
ہزارا 1.0	H A Z AA R AA
ہاکنگ 1.0	H AA K I NG
فاروڈ 1.0	F AA R UU DD
ٹارچر 1.0	TT AA R T_SH A R
لاچاروں 1.0	L AA T_SH AA R OON
آدتیا 1.0	AA D_D T_D I J AA
وداولی 1.0	V A D_D AA V A L II
نمٹنے 1.0	N I M A TT N AY
ڈینیئل 1.0	DD II N II A L
ہمسایہ 1.0	H A M S AA J AA
دبا 1.0	D_D A B AA
مقبرہ 1.0	M A Q B A R AA
صوفیا 1.0	S OO F I J AA
چھوڑو 1.0	T_SH OO RR OO
گردو 1.0	G I R D_D UU
مصیبتے 1.0	M U S II B T_D AY
زیادتیاں 1.0	Z I J AA D_D A T_D I J AAN
پیراٹروپرز 1.0	P AE R AA TT R OO P A R Z
سحری 1.0	S A H R II
شاید 1.0	SH AA J A D_D
سیموئلز 1.0	S AE M UU I L Z
کیتھیڈرل 1.0	K AY T_D_H II DD A R A L
زبیدہ 1.0	Z A B II D_D AA
بیماریاں 1.0	B II M AA R I J AAN
ملاقات 1.0	M U L L AA Q AA T_D
وسکانسن 1.0	V I S K AA N S A N
ظافر 1.0	Z AA F I R
بلبلوں 1.0	B A L B A L OON
بحق 1.0	B A H A Q
اپنےپہلے 1.0	A P AY P P A H L AY
انٹرایکٹو 1.0	I N TT A R AA AE K TT I V
مغلظات 1.0	M U 7 A L L A Z AA T_D
چاہا 1.0	T_SH AA H AA
قمر 1.0	Q A M A R
چینیوں 1.0	T_SH II N II OON
مزارپر 1.0	M U Z AA R P A R
نکتوں 1.0	N U K T_D OON
تبت 1.0	T_D A B B A T_D
تند 1.0	T_D A N D_D
چکانی 1.0	T_SH U K AA N II
پرامن 1.0	P A R A M N
دیویندر 1.0	D_D II V AE N D_D A R
لڑاکا 1.0	L A RR AA K AA
ٹھٹہ 1.0	TT_H A TT TT AA
سسر 1.0	S I S A R
پلاٹوں 1.0	P A L AA TT OON
برانڈز 1.0	B A R AA N DD Z
قالب 1.0	Q AA L I B
پنڈت 1.0	P A N DD A T_D
چکانے 1.0	T_SH U K AA N AY
اک 1.0	A K
ڈالتا 1.0	DD AA L T_D AA
لیمب 1.0	L AE M B
بدنیتی 1.0	B A D_D N II T_D II
اڑ 1.0	U RR
شریعت 1.0	SH A R II J A T_D
کمنسٹ 1.0	K A M A N S A TT
بہائی 1.0	B A H AA II
مجسموں 1.0	M U D_ZZ A S S A M OON
لیما 1.0	L II M AA
وضاحتیں 1.0	V A Z AA H A T_D AYN
شاد 1.0	SH AA D_D
گرانڈ 1.0	G A R AA N DD
جھنڈا 1.0	D_ZZ_H A N DD AA
ڈک 1.0	DD A K
ژاں 1.0	ZZ AAN
شردھا 1.0	SH A R D_D_H AA
لگتے 1.0	L A G T_D AY
لوٹا 1.0	L OO TT AA
پارسی 1.0	P AA R S II
کردیا 1.0	K U R D_D I J AA
ساتایکصفر 1.0	S AA S II K S A F A R
منتظمین 1.0	M U N T_D A Z A M II N
کارپویشن 1.0	K AA R P A V AY SH A N
ڈلانے 1.0	DD A L AA N AY
لیمن 1.0	L AY M A N
مارکیٹنگ 1.0	M AA R K II TT I NG
پوزیش 1.0	P OO Z II SH
ہوائی 1.0	H A V AA II
دھچکہ 1.0	D_D_H A T_SH K AA
طوفانوں 1.0	T_D UU F AA N OON
کھونا 1.0	K_H OO N AA
کلیان 1.0	K U L J AA N
ایجر 1.0	AY D_ZZ A R
متھالی 1.0	M A T_D_H T_D_H AA L II
تنو 1.0	T_D A N UU
جنازے 1.0	D_ZZ A N AA Z AY
لڑاکو 1.0	L A RR AA K OO
سیکولرازم 1.0	S AE K UU L A R I Z M
انھین 1.0	A N II N
انکمبسی 1.0	I N K A M B A S II
گرانے 1.0	G I R AA N AY
اٹکل 1.0	A TT K A L
جھلکتا 1.0	D_ZZ_H A L A K T_D AA
پانچصفرصفر 1.0	P AA N T_SH A S A R AY S A F A R
اٹلانٹک 1.0	A TT L AA N TT I K
بدقسمی 1.0	B A D_D Q I S M II
شرییس 1.0	SH A R II S
گرانی 1.0	G I R AA N II
مضحکہ 1.0	M U Z H A K AA
ماہین 1.0	M AA H II N
جنازہ 1.0	D_ZZ A N AA Z AA
ٹکرائیں 1.0	TT A K R AA AYN
زبانی 1.0	Z U B AA N II
پھٹا 1.0	P_H A TT TT AA
یاترا 1.0	J AA T_D R AA
کوارٹر 1.0	K A V AA TT A R
شارجہ 1.0	SH AA R D_ZZ AA
مکحمہ 1.0	M U K A H H AA
نامکمل 1.0	N AA M U K M A L
انھیں 1.0	A N TT_H AYN
رکھوالے 1.0	R A K_H V AA L AY
